internal_sku,display_name,category,is_bundle
SCL-001,Gloss + Shimmer 2-en-1 Lychee Mojito & Dazzling flakes,Lips,FALSE
SCL-002,Gloss + Shimmer 2-en-1 Peony Carajillo & Rose Quartz flakes,Lips,FALSE
SCL-003,Gloss + Shimmer 2-en-1 Apricot Honey Bourbon & Vermeil 24K,Lips,FALSE
SCL-011,Lip Balm Charm Fresh Honey Lavender,Lips,FALSE
SCL-012,Cosmetiquera Off-white,Accesories,FALSE
SCL-0033,Máscara Waterproof Long Cow Lashes,Eyes,FALSE
SCL-0034,Desmaquillante Waterproof Lavadero,Eyes,FALSE
SCL-0035,Combo Máscara Waterproof Long Cow Lashes + Desmaquillante Lavadero,Kits,TRUE
SCL-0043,Mini fragancia Vato Guapo,Fragrance,FALSE
SCL-0050,Cosmetiquera Blush,Accesories,FALSE
SCL-0068,Duo Telenovela Lipstick + Gloss Rubili,Lips,FALSE
SCL-0079,Paleta La Mil Sombras + Brocha Duo,Eyes,FALSE
SCL-0084,Enchinador Extra Wide Opening,Eyes,FALSE
SCL-0088,Mini Máscara Waterproof Long Cow Lashes,Eyes,FALSE
SCL-0095,Delineador Ultra Fine Needle,Eyes,FALSE
SCL-0098,Professional Lip Combo Creamy Beetroot Fettuccine,Lips,FALSE
SCL-0099,Professional Lip Combo Tamarind Reduction Ravioli,Lips,FALSE
SCL-0100,Professional Lip Combo Spicy Eggplant Penne,Lips,FALSE
SCL-0101,Professional Lip Combo Creamy Jamaica Farfalle,Lips,FALSE
SCL-0102,Professional Lip Combo Tatemado Spicy Fusilli,Lips,FALSE
SCL-0103,Delineador Individual (Lip Combo) Creamy Beetroot Fettuccine,Lips,FALSE
SCL-0104,Labial Individual (Lip Combo) Creamy Beetroot Fettuccine,Lips,FALSE
SCL-0106,Delineador Individual (Lip Combo) Tamarind Reduction Ravioli,Lips,FALSE
SCL-0107,Labial Individual (Lip Combo) Tamarind Reduction Ravioli,Lips,FALSE
SCL-0109,Delineador Individual (Lip Combo) Spicy Eggplant Penne,Lips,FALSE
SCL-0110,Labial Individual (Lip Combo) Spicy Eggplant Penne,Lips,FALSE
SCL-0112,Delineador Individual (Lip Combo) Tatemado Spicy Fusilli,Lips,FALSE
SCL-0113,Labial Individual (Lip Combo) Tatemado Spicy Fusilli,Lips,FALSE
SCL-0116,Duo Paleta de Sombras Flaky,Eyes,FALSE
SCL-0117,Máscara Waterproof Volume Horse Lashes,Eyes,FALSE
SCL-0122,Duo Telenovela Tint + Gloss Hortensia,Lips,FALSE
SCL-0123,Duo Telenovela Tint + Gloss Lili,Lips,FALSE
SCL-0124,Duo Telenovela Tint + Gloss Florencia,Lips,FALSE
SCL-0125,Mini Cosmetiquera Blush,Accesories,FALSE
SCL-0126,Mini Cosmetiquera Baby Blue,Accesories,FALSE
SCL-0129,Combo Máscara Waterproof Volume Horse Lashes + Desmaquillante Lavadero,Kits,TRUE
SCL-0130,Kit 2 Máscaras: Máscara Long Cow Lashes + Máscara Volume Horse Lashes,Kits,TRUE
SCL-0132,Combo 2 Mascaras (Cow Lashes + Horse Lashes) + Desmaquillante (exclu TTS USA),Kits,TRUE
SCL-0133,Mini Lip Oil Colorín Colorado,Lips,FALSE
SCL-0134,New Cherry on Top Glitter Caramel Churro Crumble,Eyes,FALSE
SCL-0135,New Cherry on Top Glitter Raspberry Ginger Sorbet,Eyes,FALSE
SCL-0136,Fragrancia Vato Guapo Premium,Fragrance,FALSE
SCL-0142,Kit Chapulin Colorado - Mini Lip Oil Colorín colorado + Cardio baby bag,Kits,TRUE
SCL-0147,Duo Telenovela Tint + Gloss Rosela,Lips,FALSE
SCL-0151,La Mil Sombras Rosa,Eyes,FALSE
SCL-0155,Mini Desmaquillante waterproof Lavadero,Eyes,FALSE
SCL-0156,Mini Máscara Waterproof Volume Horse Lashes,Eyes,FALSE
SCL-0168,Kit Enchinador Extra Wide Opening + Máscara Waterproof Long Cow Lashes,Kits,TRUE
SCL-0169,Kit Enchinador Extra Wide Opening + Máscara Waterproof Volume Horse Lashes,Kits,TRUE
SCL-0184,Delineador Ultra Fine Needle Café,Eyes,FALSE
SCL-0191,Kit Mirada iconica: Enchinador + Eyeliner + Pads + Mini Cow + Mini Desmaquillante,Kits,TRUE
SCL-0192,Kit Eye Candy: Mini Cow + Mini Horse + Mini Desm + Duo Paleta + 2 New Glitters,Kits,TRUE
SCL-0193,Kit Labios de Loba: Telenovela Tint + Delineador labios Florencia - Spicy,Kits,TRUE
SCL-0194,Kit Labios de Loba: Telenovela Tint + Delineador labios (Hortensia - Beetroot),Kits,TRUE
SCL-0195,Kit Labios de Loba: Telenovela Tint + Delineador labios (Lili - Tatemado),Kits,TRUE
SCL-0196,Kit Charm Ajolote + Lip Balm Charm,Kits,FALSE
SCL-0197,Kit Labios de Loba: Telenovela Lipstick + Delineador labios (Tatemado),Kits,TRUE
SCL-0199,New Cherry on Top Glitter Champagne Panna Cotta,Eyes,FALSE
SCL-0200,Máscara Waterproof Long Cow Lashes Café,Eyes,FALSE
SCL-0201,Kit Always on: Máscara Long Cow Lashes + Desmaquillante Lavadero,Kits,FALSE
SCL-0202,Kit Always on: Máscara Volume Horse Lashes + Desmaquillante Lavadero,Kits,FALSE
SCL-0203,Kit Always on: 2 Máscaras,Kits,FALSE
SCL-0204,Kit Always on: Máscara Long Cow Lashes + Enchinador,Kits,FALSE
SCL-0205,Kit Always on: Delineador + Enchinador + Mini Cow + Mini Desm + 3 pads,Kits,FALSE
SCL-0206,Duo Paleta de Sombras Matte,Eyes,FALSE
SCL-0207,Delineador Individual (Lip Combo) Creamy Jamaica Farfalle,Lips,FALSE
SCL-0208,Labial Individual (Lip Combo) Creamy Jamaica Farfalle,Lips,FALSE
SCL-0209,Iluminador Individual (Lip Combo) Creamy Jamaica Farfalle,Lips,FALSE
SCL-0210,Kit Mirada iconica: Enchinador + Eyeliner + Pads + Mini Horse + Mini Desmaquillante,Kits,TRUE
SCL-0211,Mini Charm Kit Lashes - Mini Cow + Mini Horse + Mini Desmaquillante,Kits,TRUE
SCL-0212,Mini Charm Kit Sparkle - Duo Flaky + New Glitter Rasperry,Kits,TRUE
SCL-0213,Kit Discovery Minis - Mini Cow + Mini Horse + Mini Desmaquillante,Kits,TRUE
SCL-0214,Kit Las Mañanitas - Mini Cosmetiquera Blush + Cow + Horse + Desm + Lip Combo Tat. + Paleta,Kits,TRUE
SCL-0215,Kit Heroes - Mascara Long Cow Lashes + Duo Telenovela Lipstick,Kits,TRUE
SCL-0216,Mini Cosmetiquera Tequila Patrón,Accesories,FALSE
SCL-0218,Kit Iconic Gaze US: Enchinador + Eyeliner + Mini Cow + Mini Desmaquillante,Kits,TRUE
SCL-0219,Kit Iconic Gaze US: Enchinador + Eyeliner + Mini Horse + Mini Desmaquillante,Kits,TRUE
